Frame,Label,X,Y,Width,Height
1,2,445,175,194,144
2,car,439,174,200,142
2,7,0,125,65,69
2,2,192,162,34,26
2,2,87,163,57,18
2,2,106,166,39,15
3,2,432,172,207,133
3,2,193,160,33,28
3,7,0,143,80,52
3,2,94,163,47,19
3,7,0,124,78,69
3,2,252,161,31,30
3,9,124,61,13,34
4,2,428,173,211,132
4,2,193,161,35,29
4,7,0,129,75,66
4,2,253,165,30,26
4,2,94,166,46,16
4,7,0,149,74,47
4,9,123,60,13,30
4,2,72,166,29,15
4,9,259,89,9,18
4,9,260,89,7,15
4,2,64,165,37,18
5,2,423,169,214,129
5,7,0,126,73,70
5,2,250,166,33,25
5,2,193,163,33,27
5,9,121,59,13,26
5,9,259,89,10,20
5,2,93,164,45,18
5,7,0,148,73,48
5,2,60,165,40,20
5,2,495,164,37,9
6,2,418,173,205,124
6,7,0,126,64,72
6,2,250,166,33,24
6,2,192,161,33,30
6,2,92,164,44,19
6,9,120,59,12,25
6,2,55,164,43,20
6,9,259,88,9,18
7,2,413,173,198,121
7,7,0,125,66,72
7,2,250,166,33,25
7,2,192,160,34,31
7,2,97,164,40,19
7,9,259,88,10,20
8,2,409,173,190,113
8,2,249,166,34,25
8,7,0,125,70,73
8,2,94,164,41,19
8,2,191,161,34,31
8,9,259,88,10,19
8,2,65,165,32,17
8,2,502,165,40,9
9,2,405,173,183,112
9,2,94,163,40,20
9,2,191,161,34,30
9,2,249,167,33,26
9,7,0,125,63,74
9,9,259,88,9,19
9,2,57,165,42,18
9,2,504,165,41,10
10,2,403,173,177,112
10,2,191,163,34,28
10,2,249,166,34,26
10,2,94,164,40,19
10,7,0,125,64,74
10,9,259,87,10,19
10,2,61,164,36,19
10,2,49,163,48,21
11,2,397,172,171,105
11,2,249,167,33,26
11,2,191,163,35,29
11,2,94,163,39,20
11,9,258,86,11,19
11,7,0,149,59,50
11,9,112,53,14,28
11,2,56,164,39,19
11,2,0,149,59,50
11,2,510,167,48,25
11,7,0,123,60,75
12,2,394,171,165,103
12,2,249,167,33,26
12,2,91,164,41,20
12,9,111,52,13,27
12,2,514,166,47,29
12,7,0,149,56,50
12,2,190,162,36,30
12,9,259,86,11,19
12,2,46,163,49,21
12,2,0,149,57,50
13,2,392,171,157,102
13,2,190,162,37,30
13,2,250,167,33,27
13,2,88,163,44,21
13,7,0,148,55,51
13,9,259,85,10,19
13,2,515,167,49,25
13,9,110,51,14,28
13,2,0,149,53,51
13,2,170,160,20,21
14,2,388,171,154,98
14,2,190,162,38,30
14,2,249,167,34,27
14,2,82,163,49,21
14,7,0,149,59,50
14,9,259,85,10,19
14,9,108,50,13,27
14,2,509,167,73,27
14,2,43,163,51,22
14,2,57,163,37,21
14,2,0,150,59,49
15,2,385,171,149,94
15,2,83,162,48,21
15,2,189,162,38,30
15,2,249,168,34,26
15,2,502,170,67,25
15,9,259,84,10,19
15,2,0,149,57,50
15,9,107,48,14,28
15,7,0,149,57,50
15,2,44,163,47,20
15,2,58,163,34,20
15,2,36,163,48,24
16,2,383,172,143,89
16,2,249,167,33,27
16,2,81,162,49,21
16,2,189,163,40,30
16,2,501,171,70,24
16,9,259,83,10,20
16,2,0,148,54,52
16,2,38,162,54,22
16,9,104,46,14,29
16,2,523,170,49,24
16,7,0,146,55,54
16,9,216,84,10,17
17,2,380,172,140,88
17,9,259,83,10,20
17,2,80,163,50,21
17,2,505,171,70,24
17,2,249,167,34,27
17,2,190,162,40,31
17,9,103,44,14,29
17,2,0,148,55,53
17,2,36,162,56,22
17,9,38,45,14,29
17,7,0,146,56,54
18,2,378,172,138,88
18,2,504,171,73,24
18,2,249,167,34,27
18,2,78,163,51,21
18,2,191,167,39,26
18,9,259,82,11,21
18,2,35,162,50,22
18,2,0,147,51,53
18,9,101,43,14,29
18,2,590,157,49,37
18,7,0,146,50,54
18,2,570,167,22,17
18,2,44,163,48,21
19,2,376,172,133,85
19,2,249,167,34,27
19,2,508,170,72,25
19,2,82,162,46,21
19,2,589,156,50,38
19,2,35,161,45,23
19,7,0,145,50,54
19,9,100,41,14,30
19,2,190,163,39,30
19,2,573,165,24,21
19,2,0,146,50,54
19,2,454,164,40,15
20,2,373,171,130,86
20,2,249,166,34,26
20,2,509,170,74,24
20,2,588,156,50,38
20,2,0,145,54,54
20,2,81,160,46,22
20,9,99,38,14,30
20,2,37,160,46,23
20,2,192,160,40,33
20,7,0,144,54,55
20,2,576,164,23,21
21,2,371,171,126,81
21,2,250,166,33,26
21,2,512,169,74,25
21,2,0,145,54,54
21,2,79,161,48,22
21,9,96,36,15,31
21,2,41,161,39,22
21,2,194,167,36,25
21,2,596,162,42,32
21,2,578,165,23,19
21,7,0,144,53,55
21,2,189,159,40,34
21,2,618,165,21,18
22,2,370,171,123,80
22,2,516,170,75,25
22,2,250,166,33,27
22,9,95,35,15,31
22,2,0,145,51,54
22,2,190,158,40,34
22,2,75,161,52,22
22,2,36,161,40,23
22,7,0,145,51,55
22,2,462,163,39,29
22,9,26,35,16,31
22,2,579,166,25,20
22,2,224,175,13,18
23,2,367,173,120,76
23,9,93,34,15,32
23,2,250,167,33,27
23,2,520,171,73,25
23,2,0,146,51,56
23,2,71,162,55,21
23,2,34,162,41,22
23,2,469,166,35,28
23,2,188,160,47,35
23,2,468,165,35,18
23,2,622,167,16,18
23,2,579,166,29,20
24,2,366,175,117,75
24,2,252,169,31,26
24,9,91,34,15,32
24,2,79,163,47,22
24,2,0,147,49,57
24,2,32,163,46,23
24,2,469,166,38,25
24,2,520,170,85,28
24,7,0,145,49,58
24,2,627,168,12,17
24,0,609,166,17,34
24,2,189,163,45,32
24,2,201,172,38,25
25,2,364,176,115,75
25,2,252,171,31,26
25,2,0,149,51,58
25,2,458,167,50,26
25,9,89,34,16,33
25,2,74,165,51,22
25,2,28,164,50,24
25,2,535,174,66,25
25,7,0,142,51,64
25,2,203,174,38,25
25,2,512,174,38,29
26,2,363,176,114,74
26,2,249,171,35,27
26,2,0,149,50,59
26,2,70,166,55,23
26,2,205,175,39,26
26,9,88,35,16,32
26,2,527,172,79,30
26,2,455,168,55,24
26,9,15,34,17,32
26,2,189,167,54,32
26,2,28,164,50,25
27,2,361,177,112,72
27,2,249,173,35,26
27,2,68,166,56,24
27,9,12,33,17,33
27,9,85,33,17,33
27,2,455,169,57,24
27,2,0,148,48,60
27,2,30,165,54,24
27,2,531,170,79,32
27,2,205,176,40,25
27,2,479,169,34,21
27,2,189,164,51,35
27,7,0,133,47,75
28,2,361,177,107,71
28,2,247,172,38,27
28,9,10,32,16,33
28,2,66,167,58,24
28,2,538,171,74,30
28,2,207,176,39,26
28,2,457,168,58,27
28,2,0,154,47,56
28,9,84,31,16,34
28,2,29,166,46,23
28,2,189,164,48,36
29,2,358,177,105,69
29,2,247,171,38,28
29,2,64,166,60,24
29,2,539,170,78,30
29,2,26,164,51,25
29,9,7,29,16,34
29,9,82,29,17,34
29,2,461,168,57,27
29,2,209,176,39,26
29,2,0,161,46,47
29,2,188,163,55,37
30,2,357,176,104,69
30,2,250,171,35,27
30,2,28,164,54,25
30,9,80,27,17,35
30,2,462,168,56,25
30,2,212,175,42,26
30,2,72,165,51,24
30,2,542,170,82,32
30,9,5,27,15,33
30,2,0,165,46,43
30,2,188,162,54,37
30,7,0,127,45,80
31,2,357,175,100,67
31,2,252,169,33,28
31,2,550,169,77,31
31,9,77,23,17,36
31,2,26,164,56,26
31,2,75,165,49,24
31,2,215,173,41,29
31,2,0,162,44,46
31,9,1,24,16,35
31,2,189,162,56,37
31,2,463,168,55,24
31,2,0,142,44,66
31,9,1,34,16,24
32,2,356,174,98,66
32,2,25,163,57,26
32,2,556,167,76,34
32,2,253,171,32,26
32,9,75,21,17,36
32,2,70,164,53,24
32,2,463,166,62,26
32,2,220,172,40,28
32,2,0,166,42,42
32,2,189,161,60,37
32,7,0,128,43,79
32,9,0,21,15,35
33,2,354,174,98,65
33,2,24,162,56,26
33,2,556,167,79,35
